Timestamp,Your Sex?,Your Matric (grade 12) Average/ GPA (in %),What year were you in last year (2023) ?,What faculty does your degree fall under?,Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),Your Accommodation Status Last Year (2023),Monthly Allowance in 2023,Were you on scholarship/bursary in 2023?,Additional amount of studying (in hrs) per week,How often do you go out partying/socialising during the week?,"On a night out, how many alcoholic drinks do you consume?","How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",How many modules have you failed thus far into your studies?,Are you currently in a romantic relationship?,Do your parents approve alcohol consumption?,How strong is your relationship with your parent/s?,,,,,
2024/03/07 5:18:18 pm EET,Male,84,1st Year,Engineering,60,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,05-Aug,0,0,No,Yes,Very close,,,,,2
2024/03/07 5:18:41 pm EET,Male,84,1st Year,Business,0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,05-Aug,0,0,No,Yes,Close,,,,,2
2024/03/07 5:18:56 pm EET,Male,86,2nd Year,Business,54,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,05-Aug,2,1,Yes,Yes,Very close,,,,,2
2024/03/07 5:19:16 pm EET,Female,80,2nd Year,Science,75,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,1,03-May,0,1,Yes,Yes,Very close,,,,,2
2024/03/07 5:19:55 pm EET,Male,80,1st Year,Business,63,Private accommodation/ stay with family/friends,R 4001 - R 5000,No,2,0,8+,2,0,No,Yes,Very close,,,,,2
2024/03/07 5:19:56 pm EET,Male,78,2nd Year,Business,73,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,05-Aug,2,0,No,Yes,Very close,,,,,2
2024/03/07 5:20:04 pm EET,Male,73,1st Year,Business,57,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,8+,2,3,Yes,Yes,Close,,,,,2
2024/03/07 5:20:31 pm EET,Male,99,2nd Year,Business,90,Private accommodation/ stay with family/friends,R 4001 - R 5000,No,2,Only weekends,03-May,3,4+,No,Yes,Very close,,,,,2
2024/03/07 5:20:48 pm EET,Female,82.6,2nd Year,Arts,75,Private accommodation/ stay with family/friends,R 4001 - R 5000,No,2,3,01-Mar,0,0,Yes,Yes,Close,,,,,2
2024/03/07 5:20:52 pm EET,Female,78,1st Year,Business,78,Private accommodation/ stay with family/friends,R 8000+,No,2,3,05-Aug,2,0,Yes,Yes,Close,,,,,2
2024/03/07 5:20:55 pm EET,Female,65,2nd Year,Business,55,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,03-May,2,4+,Yes,Yes,Very close,,,,,2
2024/03/07 5:20:57 pm EET,Male,84,2nd Year,Business,70,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,8+,4+,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:21:41 pm EET,Female,83,2nd Year,Business,0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,01-Mar,0,0,No,Yes,Close,,,,,2
2024/03/07 5:22:13 pm EET,Female,80,2nd Year,Business,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,01-Mar,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:22:34 pm EET,Female,80,2nd Year,Arts,0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,03-May,2,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:22:36 pm EET,Male,81,2nd Year,Business,60,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,2,05-Aug,0,3,Yes,Yes,Very close,,,,,2
2024/03/07 5:22:40 pm EET,Male,76,1st Year,Arts,61,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,01-Mar,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:22:44 pm EET,Male,76,2nd Year,Business,63,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,0,05-Aug,0,0,Yes,Yes,Close,,,,,2
2024/03/07 5:22:59 pm EET,Female,88,1st Year,Business,60,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,01-Mar,0,1,Yes,Yes,Very close,,,,,2
2024/03/07 5:23:11 pm EET,Male,75,2nd Year,Business,57,Private accommodation/ stay with family/friends,R 8000+,No,2,Only weekends,01-Mar,1,2,No,Yes,Close,,,,,2
2024/03/07 5:23:15 pm EET,Male,70,1st Year,Business,0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,1,03-May,0,0,No,Yes,Close,,,,,2
2024/03/07 5:24:22 pm EET,Female,70,1st Year,Business,0,Non-private accommodation ie. Res,R 4001- R 5000,No,2,2,03-May,2,0,Yes,No,Very close,,,,,2
2024/03/07 5:24:55 pm EET,Male,84,1st Year,Science,74,Non-private accommodation ie. Res,R 4001- R 5000,No,2,1,01-Mar,0,0,No,Yes,Close,,,,,2
2024/03/07 5:25:13 pm EET,Male,98,1st Year,Engineering,89,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,Only weekends,8+,0,4+,Yes,No,Distant,,,,,2
2024/03/07 5:26:08 pm EET,Male,72,2nd Year,Arts,76,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,01-Mar,0,0,Yes,Yes,Close,,,,,2
2024/03/07 5:26:12 pm EET,Female,84,1st Year,Medicine,80,Non-private accommodation ie. Res,R 6001 - R 7000,No,2,Only weekends,05-Aug,2,0,No,Yes,Very close,,,,,2
2024/03/07 5:26:29 pm EET,Male,85,2nd Year,Business,66,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,1,8+,4+,0,Yes,Yes,Fair,,,,,2
2024/03/07 5:28:19 pm EET,Female,84,1st Year,Medicine,80,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,03-May,0,0,No,Yes,Very close,,,,,2
2024/03/07 5:28:30 pm EET,Female,90,2nd Year,Law,70,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,03-May,0,3,No,Yes,Very close,,,,,2
2024/03/07 5:30:10 pm EET,Female,72,3rd Year,Education,65,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,2,05-Aug,0,1,No,Yes,Very close,,,,,2
2024/03/07 5:30:18 pm EET,Female,78,1st Year,Science,75,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,3,03-May,2,0,No,Yes,Close,,,,,2
2024/03/07 5:31:19 pm EET,Female,83,2nd Year,Engineering,63,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,03-May,0,0,No,Yes,Close,,,,,2
2024/03/07 5:31:56 pm EET,Female,85,1st Year,Business,80,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,01-Mar,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:34:04 pm EET,Female,81,2nd Year,,65,Private accommodation/ stay with family/friends,R 5001 - R 6000,"Yes (NSFAS, etc...)",2,Only weekends,03-May,1,1,No,Yes,Very close,,,,,2
2024/03/07 5:35:49 pm EET,Female,84,1st Year,Science,75,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,03-May,3,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:36:14 pm EET,Male,76,2nd Year,Science,65,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,1,0,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:36:30 pm EET,Female,80,2nd Year,Engineering,61,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,Only weekends,01-Mar,,0,Yes,Yes,Close,,,,,2
2024/03/07 5:36:45 pm EET,Female,73,3rd Year,Arts,0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,2,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 5:37:16 pm EET,Male,85,4th Year,Biology,76,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,2,8+,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:37:18 pm EET,Female,84,2nd Year,Science,65,Non-private accommodation ie. Res,,"Yes (NSFAS, etc...)",2,1,01-Mar,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:39:13 pm EET,Male,85,1st Year,Arts,58,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,05-Aug,2,0,No,Yes,Very close,,,,,2
2024/03/07 5:39:33 pm EET,Female,75,2nd Year,Arts,0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,Only weekends,01-Mar,0,2,Yes,,Very close,,,,,2
2024/03/07 5:39:33 pm EET,Female,98.33,2nd Year,Business,95.22,Non-private accommodation ie. Res,R 4001- R 5000,No,2,1,0,0,0,No,Yes,Close,,,,,2
2024/03/07 5:41:22 pm EET,Female,70,1st Year,Biology,60,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,3,01-Mar,0,1,No,No,Very close,,,,,2
2024/03/07 5:41:41 pm EET,Male,75,2nd Year,Business,65,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,1,05-Aug,0,2,Yes,Yes,Very close,,,,,2
2024/03/07 5:43:23 pm EET,Female,76,2nd Year,Law,60,,R 4001- R 5000,No,2,3,05-Aug,2,0,No,Yes,Very close,,,,,2
2024/03/07 5:43:24 pm EET,Female,87,2nd Year,Science,0,,,,2,Only weekends,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 5:43:30 pm EET,Male,75,2nd Year,Business,58,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,8+,0,0,Yes,No,Very close,,,,,2
2024/03/07 5:45:25 pm EET,Male,86,3rd Year,Biology,55,Private accommodation/ stay with family/friends,R 5001 - R 6000,"Yes (NSFAS, etc...)",2,1,8+,1,3,No,Yes,Very close,,,,,2
2024/03/07 5:45:25 pm EET,Female,80,3rd Year,Medicine,71,Private accommodation/ stay with family/friends,R 8000+,No,2,Only weekends,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 5:46:41 pm EET,Female,75,3rd Year,Arts,60,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,8+,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:46:44 pm EET,Female,75,2nd Year,Business,70,Private accommodation/ stay with family/friends,R 8000+,No,2,1,05-Aug,3,0,No,Yes,Very close,,,,,2
2024/03/07 5:47:22 pm EET,Female,80,2nd Year,Business,60,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,05-Aug,0,1,Yes,Yes,Very close,,,,,2
2024/03/07 5:48:23 pm EET,Female,75,3rd Year,Business,64,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,05-Aug,0,1,No,Yes,Very close,,,,,2
