pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima
M,2.0,Economic & Management Sciences,Africa,B,0.4,poor,Private,good,Fair
M,1.0,Economic & Management Sciences,Africa,B,-2.6,poor,Private,good,Very close
M,2.0,Engineering,Africa,B,0.0,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,6.5,poor,Private,good,Very close
M,1.0,Science,Africa,B,8.0,poor,Non private,good,
M,1.0,Economic & Management Sciences,Africa,B,0.0,poor,Private,good,Fair
M,3.0,Science,Africa,B,-3.6,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,B,0.0,poor,Private,good,Close
F,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
F,3.0,Science,Africa,A,12.9,poor,Private,good,Close
M,1.0,AgriSciences,Africa,C,14.1,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,A,12.7,poor,,good,Fair
M,1.0,Science,Africa,A,8.0,poor,Private,good,Distant
F,2.0,Arts & Social Sciences,Africa,B,7.0,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,7.0,poor,Private,good,Very close
M,1.0,Engineering,Africa,B,8.0,poor,Non private,good,Close
M,2.0,Arts & Social Sciences,Africa,A,8.1,poor,Non private,good,Close
M,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
M,2.0,AgriSciences,Africa,C,7.9,poor,Private,good,Close
F,1.0,Science,Africa,A,7.9,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,A,8.2,poor,Non private,good,Very close
F,2.0,Education,Africa,A,8.3,poor,Private,good,Close
F,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Fair
M,2.0,Engineering,Africa,A,5.3,poor,Non private,good,Very close
F,2.0,Economic & Management Sciences,Africa,B,3.3,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,A,1.0,poor,Private,good,Close
F,1.0,Arts & Social Sciences,Africa,B,-1.3,poor,Private,good,Very close
M,1.0,Science,Africa,B,-3.5,poor,Non private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,-5.3,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,-6.7,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,-6.1,poor,Private,good,Close
F,1.0,Economic & Management Sciences,Africa,B,-3.8,poor,Non private,good,Close
F,1.0,Economic & Management Sciences,Africa,B,0.0,poor,Non private,good,Very close
F,1.0,AgriSciences,Africa,B,4.8,poor,Private,good,Close
F,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,B,7.9,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,A,8.4,poor,Private,good,Very close
M,4.0,AgriSciences,Africa,C,9.2,poor,Private,good,Very close
M,4.0,Economic & Management Sciences,Africa,B,9.8,poor,Private,good,Very close
F,2.0,Arts & Social Sciences,Africa,B,10.1,poor,Private,good,Close
M,3.0,AgriSciences,Africa,B,9.6,poor,Private,good,Close
F,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Fair
F,3.0,Science,Africa,A,5.3,poor,Private,good,Very close
M,3.0,Economic & Management Sciences,Africa,B,0.1,poor,Private,good,Very close
M,2.0,AgriSciences,Africa,B,0.0,poor,Non private,good,Close
F,1.0,Economic & Management Sciences,Africa,A,2.5,poor,Non private,good,Close
M,2.0,Economic & Management Sciences,Africa,A,5.9,poor,Non private,good,Close
F,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
M,4.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
