pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima
F,1,Arts,Africa,B,0,poor,Private,good,Very close
M,1,Science,Africa,B,0,poor,Non private,good,Very close
M,2,Business,Africa,B,0,poor,Private,good,Very close
F,1,Business,Africa,B,0,poor,Private,good,Very close
M,2,Business,Africa,B,0,poor,Private,good,Close
F,1,Business,Africa,B,0,poor,Non private,good,Close
F,1,Business,Africa,B,0,poor,Non private,good,Very close
F,1,Biology,Africa,B,4.8,poor,Private,good,Close
F,2,Business,Africa,A,8,poor,Private,good,Very close
F,2,Business,Africa,A,8,poor,Private,good,Very close
F,2,Business,Africa,B,7.9,poor,Private,good,Very close
F,2,Business,Africa,A,8.4,poor,Private,good,Very close
M,4,Biology,Africa,C,9.2,poor,Private,good,Very close
M,4,Business,Africa,B,9.8,poor,Private,good,Very close
F,2,Arts,Africa,B,10.1,poor,Private,good,Close
M,3,Biology,Africa,B,9.6,poor,Private,good,Close
F,2,Business,Africa,A,8,poor,Private,good,Fair
F,3,Science,Africa,A,5.3,poor,Private,good,Very close
M,3,Business,Africa,B,0.1,poor,Private,good,Very close
M,2,Biology,Africa,B,0,poor,Non private,good,Close
F,1,Business,Africa,A,2.5,poor,Non private,good,Close
M,2,Business,Africa,A,5.9,poor,Non private,good,Close
F,2,Business,Africa,A,8,poor,Private,good,Very close
M,4,Business,Africa,B,8,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Private,good,Very close
F,2,Business,Africa,B,4.8,poor,Private,good,Very close
F,2,Arts,Africa,B,0,poor,Private,good,Close
M,2,Business,Africa,A,0,poor,Non private,good,Very close
F,2,Arts,Africa,B,8,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Private,good,Very close
F,2,Science,Africa,A,8,poor,Private,good,Very close
M,1,Business,Africa,C,10.1,poor,Private,good,Close
F,3,Biology,Africa,B,16.8,poor,Private,good,Close
F,1,Education,Africa,B,16.6,poor,Private,good,Very close
F,2,Science,Africa,B,13.9,poor,Private,good,Very close
F,2,Business,Africa,A,8,poor,Private,good,Very close
F,3,Business,Africa,B,0,poor,Private,good,Very close
F,1,Arts,Africa,B,0,poor,Private,good,Close
F,2,Arts,Africa,C,1.3,poor,Private,good,Fair
F,2,Science,Africa,A,5.5,poor,Private,good,Fair
M,1,Biology,Africa,B,8,poor,Private,good,Very close
M,1,Business,Africa,B,8,poor,Non private,good,Fair
M,3,Science,Africa,B,8,poor,Private,good,Fair
M,1,Science,Africa,B,8,poor,Private,good,Very close
F,3,Business,Africa,A,8,poor,Private,good,Very close
F,1,Business,Africa,C,8,poor,Private,good,Very close
F,1,Science,Africa,C,8,poor,Private,good,Very close
F,2,Arts,Africa,B,8,poor,Private,good,Very close
M,2,Science,Africa,B,7.9,poor,Private,good,Close
M,2,Business,Africa,A,7.8,poor,Private,good,Very close
F,1,Biology,Africa,B,7.9,poor,Private,good,Very close
M,4,Business,Africa,A,8,poor,Private,good,Very close
M,1,Business,Africa,B,8.2,poor,Private,good,Very close
F,1,Science,Africa,A,8.3,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Non private,good,Very close
M,1,Business,Africa,A,7.2,poor,Non private,good,Close
M,1,Business,Africa,C,6.1,poor,Private,good,Close
M,1,Business,Africa,C,4.7,poor,Non private,good,Very close
F,1,Business,Africa,B,3.2,poor,Private,good,Very close
F,1,Business,Africa,C,1.9,poor,Private,good,Close
M,1,Business,Africa,B,0.7,poor,Private,good,Very close
F,1,Business,Africa,A,0,poor,Private,good,Fair
F,1,Business,Africa,B,0,poor,Private,good,Very close
F,1,Business,Africa,B,0,poor,Private,good,Very close
M,3,Business,Africa,B,0.5,poor,Private,good,Very close
F,1,Business,Africa,B,1.2,poor,Non private,good,Close
F,1,Business,Africa,C,2,poor,Private,good,Very close
F,2,Business,Africa,C,2.9,poor,Non private,good,Very close
F,2,Arts,Africa,C,3.9,poor,Private,good,Close
M,3,Science,Africa,A,4.9,poor,Non private,good,Close
F,2,Business,Africa,B,5.8,poor,Private,good,Fair
M,2,Business,Africa,A,6.6,poor,Private,good,Very close
M,1,Business,Africa,B,7.3,poor,Private,good,Very close
F,2,Arts,Africa,C,7.8,poor,Private,good,Close
M,3,Business,Africa,A,8,poor,Non private,good,Very close
M,2,Business,Africa,B,8,poor,Private,good,Close
F,2,Business,Africa,B,8,poor,Private,good,Very close
M,2,Engineering,Africa,B,8.1,poor,Non private,good,Fair
F,1,Business,Africa,C,8.3,poor,Private,good,Close
M,1,Arts,Africa,B,8.4,poor,Private,good,Very close
F,2,Business,Africa,B,8.5,poor,Private,good,Very close
F,2,Business,Africa,A,8.5,poor,Private,good,Close
F,2,Arts,Africa,B,8,poor,Private,good,Very close
M,3,Business,Africa,A,8,poor,Private,good,Close
F,3,Education,Africa,B,9.9,poor,Private,good,Very close
F,3,Business,Africa,C,11.1,poor,Private,good,Very close
M,2,Business,Africa,A,8,poor,Private,good,Very close
M,2,Business,Africa,C,0,poor,Private,good,Very close
F,1,Business,Africa,C,0,poor,Private,good,Very close
M,1,Business,Africa,B,0,poor,Private,good,Very close
M,1,Science,Africa,A,1.2,poor,Non private,good,Very close
M,3,Business,Africa,C,5.5,poor,Private,good,Very close
M,3,Business,Africa,A,8,poor,Non private,good,Close
M,4,Business,Africa,A,8,poor,Non private,good,Close
F,1,Business,Africa,C,8.9,poor,Private,good,Very close
F,2,Business,Africa,B,9.7,poor,Private,good,Very close
F,2,Engineering,Africa,A,8,poor,Private,good,Very close
F,1,Business,Africa,B,2.8,poor,Private,good,Close
F,4,Business,Africa,B,-1.7,poor,Private,good,Very close
F,2,Science,Africa,B,0,poor,Private,good,Very close
M,1,Science,Africa,A,8,poor,Non private,good,Very close
M,1,Science,Africa,A,8,poor,Private,good,Very close
F,2,Arts,Africa,A,7.5,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Private,good,Close
F,1,AgriSciences,Africa,B,8,poor,Private,good,Close
M,1,Business,Africa,B,7.9,poor,Private,good,Very close
M,1,Business,Africa,C,7.8,poor,Non private,good,Very close
M,1,Science,Africa,B,7.8,poor,Private,good,Very close
M,1,Business,Africa,B,8,poor,Private,good,Close
F,1,Business,Africa,B,8,poor,Private,good,Fair
M,1,Business,Africa,B,8.1,poor,Private,good,Fair
M,1,Engineering,Africa,A,8.1,poor,Non private,good,Very close
M,1,Business,Africa,C,8,poor,Private,good,Very close
M,1,Science,Africa,A,8,poor,Private,good,Very close
M,1,Business,Africa,B,8,poor,Private,good,Close
M,2,Business,Africa,B,8,poor,Private,good,Very close
F,2,Science,Africa,A,8,poor,Private,good,Very close
M,1,Science,Africa,B,8,poor,Private,good,Close
M,1,Business,Africa,A,8,poor,Non private,good,Very close
F,2,Arts,Africa,C,8,poor,Private,good,Fair
M,1,Business,Africa,B,8,poor,Non private,good,Close
M,3,Law,Africa,B,8,poor,Private,good,Close
M,2,Business,Africa,B,8,poor,Private,good,Close
F,1,Education,Africa,B,8,poor,Private,good,Very close
F,1,AgriSciences,Africa,B,8,poor,Private,good,Very close
F,2,Arts,Africa,B,8,poor,Private,good,Very close
F,1,Business,Africa,B,8,poor,Private,good,Very close
F,2,Science,Africa,A,8,poor,Private,good,Very close
F,1,Business,Africa,B,8,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Private,good,Very close
F,2,Business,Africa,A,8,poor,Non private,good,Very close
F,1,Engineering,Africa,B,8.1,poor,Private,good,Very close
F,2,Business,Africa,A,8.4,poor,Private,good,Close
F,2,Business,Africa,B,8.7,poor,Private,good,Close
M,2,Science,Africa,B,9,poor,Private,good,Close
M,1,Business,Africa,C,9.2,poor,Private,good,Very close
F,1,Business,Africa,B,9.3,poor,Private,good,Very close
M,1,Business,Africa,B,9.2,poor,Private,good,Fair
M,1,Arts,Africa,B,9.1,poor,Private,good,Very close
M,1,Business,Africa,B,8.8,poor,Private,good,Very close
M,1,Engineering,Africa,A,8,poor,Private,good,Very close
F,1,Business,Africa,B,7.6,poor,Private,good,Very close
M,2,Business,Africa,C,8,poor,Private,good,Very close
