pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima,u_romanticnoj_vezi,ponavlja
M,2.0,Engineering,Iraq,C,2.0,vgood,Non private,good,Close,No,no
M,2.0,Engineering,Iraq,C,3.0,vgood,Private,good,Fair,No,no
M,3.0,Engineering,Iraq,C,1.0,good,Non private,poor,Close,No,yes
M,2.0,Engineering,Iraq,B,3.0,vgood,Private,good,Very close,No,no
M,2.0,Engineering,Iraq,C,1.0,poor,Private,good,Close,No,no
M,2.0,Engineering,Iraq,B,1.0,good,Private,vgood,Very close,No,no
M,3.0,Biology,Iraq,B,2.0,vgood,Private,good,Close,No,yes
M,2.0,Biology,Iraq,C,1.0,vgood,Non private,good,Close,No,no
M,3.0,Biology,Iraq,B,0.0,good,Non private,good,Very close,No,yes
M,2.0,Biology,Iraq,B,1.0,good,Private,vgood,Close,No,no
M,3.0,Biology,Iraq,B,1.0,vgood,Private,poor,Very close,No,no
M,2.0,Biology,Iraq,B,1.0,vgood,Private,good,Very close,No,no
M,2.0,Biology,Iraq,A,2.0,good,Private,vgood,Close,No,no
M,1.0,Biology,Iraq,A,3.0,vgood,Private,vgood,Very close,No,no
M,2.0,Biology,Iraq,B,1.0,vgood,Private,good,Close,No,no
M,2.0,Biology,Iraq,A,1.0,good,Private,vgood,Very close,No,no
M,3.0,Biology,Iraq,C,2.0,good,Non private,good,Close,No,yes
M,2.0,Biology,Iraq,B,1.0,vgood,Non private,good,Close,No,yes
M,2.0,Biology,Iraq,B,2.0,vgood,Private,good,Very close,No,no
M,3.0,Biology,Iraq,A,3.0,vgood,Private,vgood,Very close,No,yes
M,3.0,Biology,Iraq,A,2.0,vgood,Private,vgood,Very close,No,no
M,2.0,Biology,Iraq,B,1.0,good,Private,vgood,Very close,No,no
M,2.0,Biology,Iraq,B,1.0,good,Private,vgood,Very close,No,yes
F,2.0,Biology,Iraq,A,2.0,good,Private,vgood,Very close,No,no
F,1.0,Biology,Iraq,A,3.0,good,Private,good,Very close,No,no
F,2.0,Engineering,Iraq,B,3.0,vgood,Non private,vgood,Very close,No,no
F,4.0,Engineering,Iraq,C,1.0,good,Non private,good,Very close,No,yes
F,2.0,Engineering,Iraq,B,1.0,poor,Private,good,Close,No,yes
F,2.0,Engineering,Iraq,B,2.0,good,Non private,good,Very close,No,no
F,1.0,Engineering,Iraq,B,3.0,vgood,Private,good,Close,No,no
F,3.0,Engineering,Iraq,C,2.0,vgood,Private,good,Close,No,yes
F,2.0,Engineering,Iraq,C,3.0,vgood,Private,good,Close,No,no
F,2.0,Engineering,Iraq,C,3.0,vgood,Private,vgood,Very close,No,no
F,2.0,Engineering,Iraq,B,2.0,good,Private,good,Close,No,no
F,2.0,Engineering,Iraq,B,3.0,vgood,Private,excellent,Very close,No,no
F,2.0,Engineering,Iraq,B,3.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Iraq,B,2.0,vgood,Private,good,Close,Yes,no
F,2.0,Engineering,Iraq,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Iraq,B,3.0,good,Private,vgood,Very close,No,yes
F,3.0,Engineering,Iraq,C,2.0,vgood,Non private,good,Close,No,yes
F,2.0,Engineering,Iraq,B,1.0,vgood,Private,good,Close,No,yes
F,2.0,Engineering,Iraq,A,2.0,vgood,Private,excellent,Very close,No,no
F,2.0,Engineering,Iraq,B,1.0,good,Non private,vgood,Very close,No,no
F,2.0,Engineering,Iraq,A,2.0,vgood,Private,good,Very close,No,yes
F,3.0,Engineering,Iraq,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Iraq,B,2.0,vgood,Private,vgood,Very close,No,no
F,2.0,Engineering,Iraq,B,3.0,vgood,Non private,good,Very close,No,yes
F,2.0,Engineering,Iraq,B,2.0,good,Private,good,Close,No,yes
F,2.0,Engineering,Iraq,B,2.0,good,Private,vgood,Very close,No,no
F,2.0,Engineering,Iraq,A,2.0,vgood,Non private,good,Close,No,no
F,2.0,Engineering,Iraq,B,3.0,vgood,Non private,good,Close,No,yes
F,3.0,Engineering,Iraq,B,1.0,vgood,Private,vgood,Very close,No,yes
F,3.0,Engineering,Iraq,B,0.0,vgood,Private,good,Close,No,yes
F,2.0,Engineering,Iraq,B,2.0,vgood,Non private,good,Close,No,no
F,2.0,Engineering,Iraq,B,2.0,good,Private,good,Close,No,yes
F,2.0,Engineering,Iraq,C,3.0,good,Private,excellent,Very close,No,no
F,2.0,Engineering,Iraq,B,3.0,good,Non private,good,Very close,No,no
F,2.0,Engineering,Iraq,B,1.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Iraq,B,0.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Iraq,A,3.0,vgood,Private,vgood,Very close,No,no
F,2.0,Engineering,Iraq,A,3.0,vgood,Private,vgood,Very close,No,no
F,2.0,Biology,Iraq,B,3.0,good,Private,good,Very close,No,no
F,2.0,Biology,Iraq,B,3.0,good,Private,good,Very close,No,yes
F,2.0,Biology,Iraq,C,3.0,good,Private,good,Very close,No,no
F,2.0,Biology,Iraq,B,1.0,vgood,Private,good,Very close,No,no
F,4.0,Biology,Iraq,B,2.0,good,Private,vgood,Very close,No,no
F,2.0,Biology,Iraq,B,1.0,vgood,Non private,good,Close,No,no
F,3.0,Biology,Iraq,B,0.0,vgood,Private,good,Close,No,yes
F,2.0,Biology,Iraq,B,2.0,good,Private,vgood,Very close,No,no
F,2.0,Biology,Iraq,B,3.0,vgood,Private,excellent,Very close,No,no
F,2.0,Biology,Iraq,A,3.0,good,Private,good,Close,No,no
F,2.0,Biology,Iraq,A,3.0,vgood,Non private,good,Very close,No,no
F,1.0,Biology,Iraq,A,0.0,poor,Private,poor,Close,No,yes
F,2.0,Biology,Iraq,B,3.0,poor,Private,good,Close,No,yes
F,3.0,Biology,Iraq,C,1.0,good,Non private,good,Very close,No,yes
F,2.0,Biology,Iraq,B,2.0,vgood,Non private,good,Close,No,yes
F,2.0,Biology,Iraq,A,3.0,good,Private,good,Very close,No,yes
F,2.0,Biology,Iraq,B,3.0,vgood,Private,good,Very close,No,yes
F,2.0,Engineering,Iraq,A,3.0,vgood,Private,vgood,Very close,No,no
F,2.0,Biology,Iraq,A,3.0,vgood,Private,good,Close,No,no
F,2.0,Biology,Iraq,A,3.0,vgood,Private,good,Close,No,no
F,2.0,Biology,Iraq,A,2.0,good,Private,good,Close,No,no
F,2.0,Biology,Iraq,A,3.0,vgood,Private,good,Very close,No,no
F,2.0,Biology,Iraq,B,3.0,vgood,Non private,good,Very close,No,no
F,2.0,Biology,Iraq,B,2.0,good,Private,vgood,Very close,No,no
F,2.0,Biology,Iraq,C,2.0,good,Non private,good,Very close,No,yes
F,2.0,Biology,Iraq,B,2.0,poor,Non private,good,Very close,No,no
F,2.0,Biology,Iraq,B,2.0,poor,Private,good,Very close,No,no
F,2.0,Biology,Iraq,A,3.0,vgood,Non private,vgood,Very close,No,no
F,2.0,Biology,Iraq,A,3.0,vgood,Private,good,Very close,No,yes
F,2.0,Biology,Iraq,B,3.0,good,Private,good,Close,No,no
F,3.0,Biology,Iraq,A,3.0,good,Private,good,Very close,No,no
F,2.0,Biology,Iraq,B,2.0,vgood,Non private,good,Close,No,no
F,3.0,Biology,Iraq,A,3.0,good,Non private,good,Close,No,no
F,2.0,Biology,Iraq,C,2.0,good,Private,good,Very close,No,yes
F,2.0,Biology,Iraq,B,3.0,good,Private,good,Very close,No,no
F,2.0,Biology,Iraq,B,3.0,vgood,Non private,good,Very close,No,no
F,2.0,Biology,Iraq,A,2.0,vgood,Private,vgood,Close,No,no
F,2.0,Biology,Iraq,A,3.0,vgood,Private,good,Very close,No,no
F,2.0,Biology,Iraq,A,2.0,good,Private,vgood,Very close,No,no
F,2.0,Biology,Iraq,B,0.0,good,Private,good,Very close,No,no
F,1.0,Biology,Iraq,C,2.0,vgood,Non private,good,Very close,No,no
F,2.0,Biology,Iraq,A,3.0,good,Private,good,Very close,No,yes
F,3.0,Biology,Iraq,B,3.0,vgood,Private,good,Very close,Yes,no
F,2.0,Biology,Iraq,B,3.0,good,Non private,good,Very close,No,no
F,4.0,Biology,Iraq,B,2.0,good,Non private,good,Very close,No,yes
F,2.0,Biology,Iraq,A,1.0,vgood,Private,good,Very close,No,no
F,4.0,Engineering,Portugal,B,2.0,poor,Non private,poor,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,3.0,vgood,Private,good,Close,Yes,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,poor,Very close,No,no
M,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,vgood,Non private,poor,Very close,No,no
M,1.0,Engineering,Portugal,A,2.0,vgood,Non private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Close,No,no
F,1.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,3.0,vgood,Non private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,A,1.0,poor,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,3.0,poor,Private,good,Close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,poor,Very close,No,no
M,3.0,Engineering,Portugal,C,1.0,vgood,Private,good,Very close,No,yes
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Close,No,no
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Fair,No,no
M,1.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,1.0,vgood,Private,good,Close,No,no
M,2.0,Engineering,Portugal,B,2.0,vgood,Non private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,Yes,no
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,1.0,poor,Private,poor,Close,No,no
M,1.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,3.0,poor,Non private,good,Close,Yes,no
F,1.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,1.0,poor,Private,poor,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Close,Yes,no
M,1.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,Yes,no
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,yes
F,1.0,Engineering,Portugal,B,2.0,poor,Non private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,B,2.0,poor,Non private,good,Close,No,no
M,2.0,Engineering,Portugal,A,4.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,2.0,poor,Private,poor,Very close,No,no
F,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,A,2.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,C,1.0,poor,Non private,poor,Very close,No,no
F,1.0,Engineering,Portugal,B,1.0,vgood,Private,good,Close,No,no
F,1.0,Engineering,Portugal,B,1.0,vgood,Non private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Non private,good,Very close,Yes,no
F,1.0,Engineering,Portugal,B,2.0,vgood,Non private,good,Very close,No,no
M,1.0,Engineering,Portugal,A,2.0,poor,Private,poor,Close,No,no
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,A,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,A,2.0,vgood,Private,poor,Close,No,no
F,2.0,Engineering,Portugal,A,1.0,vgood,Private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,3.0,vgood,Private,good,Close,No,no
F,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,A,2.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,4.0,vgood,Non private,good,Fair,Yes,no
F,2.0,Engineering,Portugal,B,4.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,4.0,poor,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,4.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,4.0,vgood,Private,good,Close,No,no
F,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Close,Yes,no
M,2.0,Engineering,Portugal,B,1.0,vgood,Private,poor,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,4.0,vgood,Private,good,Close,No,no
F,2.0,Engineering,Portugal,B,4.0,vgood,Private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,yes
F,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Close,No,no
M,1.0,Engineering,Portugal,B,1.0,vgood,Private,good,Close,Yes,no
M,1.0,Engineering,Portugal,C,3.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,B,2.0,poor,Private,poor,Very close,No,no
F,1.0,Engineering,Portugal,B,3.0,poor,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,2.0,poor,Non private,poor,Very close,No,no
F,2.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,Yes,no
F,1.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,poor,Close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,4.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,4.0,poor,Private,good,Close,No,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,poor,Very close,Yes,no
F,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,C,1.0,poor,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,A,3.0,vgood,Private,good,Very close,Yes,no
M,1.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,A,2.0,vgood,Non private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,4.0,poor,Non private,poor,Very close,No,no
F,1.0,Engineering,Portugal,B,4.0,poor,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,3.0,poor,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,B,4.0,poor,Private,good,Fair,Yes,no
F,2.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,Yes,no
M,1.0,Engineering,Portugal,B,1.0,poor,Non private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,3.0,poor,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Close,No,yes
M,1.0,Engineering,Portugal,A,1.0,poor,Private,good,Close,No,no
M,1.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
M,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
M,1.0,Engineering,Portugal,A,2.0,poor,Private,poor,Very close,No,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,No,no
M,3.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,yes
M,1.0,Engineering,Portugal,B,1.0,vgood,Private,good,Close,No,no
F,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Close,No,no
M,1.0,Engineering,Portugal,B,4.0,poor,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,Yes,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,Yes,no
M,1.0,Engineering,Portugal,C,1.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,2.0,vgood,Non private,good,Very close,Yes,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Close,No,no
M,2.0,Engineering,Portugal,B,3.0,poor,Private,good,Close,Yes,no
F,1.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,Yes,no
F,4.0,Engineering,Portugal,C,2.0,poor,Private,good,Very close,Yes,yes
F,3.0,Engineering,Portugal,B,1.0,poor,Non private,good,Close,No,no
F,1.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,B,1.0,vgood,Private,good,Close,Yes,no
F,2.0,Engineering,Portugal,B,1.0,poor,Non private,good,Close,No,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,poor,Close,No,no
F,2.0,Engineering,Portugal,B,1.0,poor,Non private,poor,Very close,No,yes
M,1.0,Engineering,Portugal,B,2.0,vgood,Private,poor,Very close,Yes,no
F,1.0,Engineering,Portugal,B,3.0,poor,Private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,B,2.0,vgood,Private,poor,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,poor,Very close,No,no
M,4.0,Engineering,Portugal,B,1.0,vgood,Private,good,Close,Yes,no
F,4.0,Engineering,Portugal,B,3.0,poor,Non private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,B,1.0,poor,Private,poor,Close,Yes,no
F,2.0,Engineering,Portugal,B,1.0,poor,Non private,good,Very close,Yes,no
M,2.0,Engineering,Portugal,B,2.0,vgood,Private,poor,Very close,Yes,yes
F,1.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,C,1.0,vgood,Private,good,Very close,Yes,yes
M,1.0,Engineering,Portugal,B,4.0,poor,Private,good,Close,No,no
F,1.0,Engineering,Portugal,C,2.0,poor,Non private,poor,Fair,Yes,no
M,2.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Close,No,no
F,1.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Close,No,no
M,3.0,Engineering,Portugal,C,1.0,poor,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,1.0,vgood,Non private,good,Very close,Yes,no
F,1.0,Engineering,Portugal,B,2.0,vgood,Private,good,Close,No,yes
F,1.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
F,1.0,Engineering,Portugal,B,2.0,poor,Private,poor,Close,Yes,no
M,2.0,Engineering,Portugal,C,1.0,poor,Private,good,Close,Yes,no
M,1.0,Engineering,Portugal,B,1.0,vgood,Non private,good,Very close,No,no
M,4.0,Engineering,Portugal,C,1.0,vgood,Private,good,Close,Yes,yes
M,2.0,Engineering,Portugal,B,1.0,poor,Private,poor,Very close,Yes,yes
F,1.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,B,1.0,vgood,Private,poor,Very close,Yes,no
M,1.0,Engineering,Portugal,C,2.0,vgood,Private,poor,Very close,No,no
M,3.0,Engineering,Portugal,B,1.0,poor,Private,poor,Close,No,yes
F,4.0,Engineering,Portugal,B,1.0,poor,Private,poor,Very close,No,yes
M,2.0,Engineering,Portugal,B,1.0,poor,Private,poor,Very close,No,no
M,2.0,Engineering,Portugal,C,2.0,vgood,Private,good,Very close,Yes,yes
M,2.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,yes
M,3.0,Engineering,Portugal,C,1.0,poor,Private,good,Close,Yes,yes
M,3.0,Engineering,Portugal,C,2.0,poor,Private,good,Very close,Yes,yes
M,1.0,Engineering,Portugal,B,1.0,vgood,Private,poor,Very close,No,no
M,2.0,Engineering,Portugal,C,1.0,vgood,Private,good,Very close,No,yes
M,3.0,Engineering,Portugal,C,2.0,vgood,Private,poor,Very close,Yes,no
M,3.0,Engineering,Portugal,C,1.0,poor,Private,poor,Very close,No,yes
M,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,A,2.0,vgood,Private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,A,2.0,vgood,Private,good,Very close,Yes,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Close,No,yes
M,2.0,Engineering,Portugal,A,2.0,vgood,Private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Close,No,no
M,3.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
M,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Close,No,no
M,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,A,2.0,vgood,Private,poor,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,A,2.0,poor,Private,good,Fair,No,no
M,3.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
M,2.0,Engineering,Portugal,B,1.0,vgood,Private,good,Close,Yes,no
M,2.0,Engineering,Portugal,A,2.0,vgood,Private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,B,2.0,poor,Non private,good,Close,Yes,no
M,3.0,Engineering,Portugal,B,2.0,poor,Private,poor,Close,No,no
F,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,3.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,A,2.0,poor,Private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Close,No,no
F,3.0,Engineering,Portugal,A,1.0,poor,Private,good,Very close,No,yes
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,2.0,poor,Private,poor,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,vgood,Private,poor,Very close,No,no
F,3.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,No,no
F,2.0,Engineering,Portugal,B,4.0,poor,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,C,3.0,poor,Private,good,Very close,Yes,yes
F,2.0,Engineering,Portugal,B,2.0,vgood,Non private,good,Close,No,no
F,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Fair,Yes,no
F,2.0,Engineering,Portugal,B,1.0,vgood,Private,poor,Very close,No,no
F,3.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Non private,good,Close,No,no
M,4.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,1.0,poor,Private,poor,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,poor,Private,good,Close,Yes,no
M,4.0,Engineering,Portugal,B,2.0,poor,Private,good,Close,No,no
F,3.0,Engineering,Portugal,B,1.0,poor,Private,poor,Close,No,no
F,3.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,3.0,poor,Private,poor,Very close,Yes,no
F,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Close,No,no
M,4.0,Engineering,Portugal,B,2.0,poor,Private,good,Close,No,yes
F,2.0,Engineering,Portugal,A,3.0,poor,Private,good,Very close,No,no
F,4.0,Engineering,Portugal,C,2.0,poor,Private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,A,2.0,vgood,Private,good,Very close,No,no
M,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,4.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,A,3.0,vgood,Non private,good,Close,Yes,no
F,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Close,Yes,no
M,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,Yes,no
M,2.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,C,2.0,vgood,Private,good,Close,No,no
M,2.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,A,2.0,vgood,Private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,Yes,no
