pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima,u_romanticnoj_vezi,ponavlja
F,2.0,Medicine,Africa,B,2.0,vgood,Private,vgood,Very close,Yes,no
M,2.0,Business,Africa,B,2.0,vgood,Private,poor,Very close,No,yes
M,2.0,Business,Africa,B,2.0,vgood,Private,poor,Very close,No,no
F,1.0,Business,Africa,A,2.0,good,Private,vgood,Close,Yes,no
F,1.0,Science,Africa,A,2.0,vgood,Private,poor,Very close,Yes,no
M,3.0,Law,Africa,B,2.0,vgood,Private,poor,Close,Yes,no
M,1.0,Business,Africa,C,2.0,vgood,Private,vgood,Very close,Yes,yes
M,1.0,Science,Africa,B,2.0,vgood,Private,good,Close,No,yes
M,2.0,Business,Africa,B,2.0,poor,Private,vgood,Very close,No,no
F,2.0,Medicine,Africa,B,2.0,vgood,Private,poor,Very close,No,no
M,1.0,Business,Africa,A,2.0,good,Private,poor,Fair,Yes,no
F,2.0,Business,Africa,B,2.0,vgood,Private,vgood,Close,No,yes
F,2.0,Business,Africa,B,2.0,vgood,Private,vgood,Very close,Yes,no
M,2.0,Engineering,Iraq,B,3.0,vgood,Private,good,Very close,No,no
M,3.0,Engineering,Iraq,B,0.0,vgood,Private,vgood,Very close,No,yes
M,2.0,Engineering,Iraq,C,0.0,good,Private,good,Close,No,yes
M,3.0,Engineering,Iraq,B,1.0,good,Private,vgood,Very close,Yes,no
M,2.0,Engineering,Iraq,C,1.0,good,Private,vgood,Very close,No,no
M,2.0,Engineering,Iraq,C,1.0,vgood,Private,good,Very close,No,no
M,2.0,Engineering,Iraq,B,2.0,good,Private,good,Very close,No,no
M,2.0,Engineering,Iraq,A,3.0,vgood,Private,excellent,Fair,No,yes
M,2.0,Engineering,Iraq,C,2.0,good,Non private,good,Very close,No,yes
M,2.0,Engineering,Iraq,B,2.0,vgood,Private,good,Close,No,no
M,3.0,Engineering,Iraq,C,1.0,vgood,Private,good,Very close,No,yes
M,2.0,Engineering,Iraq,C,1.0,vgood,Private,good,Very close,No,no
M,2.0,Engineering,Iraq,C,1.0,good,Non private,good,Very close,No,no
